Job Position Name,Company Name,Pay,Experience,Rating,URL
DigitalBCG | GAMMA Lead Data Scientist,Boston Consulting Group,Not disclosed,5-9 Yrs,4.1,https://www.naukri.com/job-listings-digitalbcg-gamma-lead-data-scientist-boston-consulting-group-mumbai-new-delhi-chennai-bangalore-bengaluru-5-to-9-years-010722500597
"Senior Specialist, Data Scientist",BNY Mellon,Not disclosed,8-10 Yrs,4.2,https://www.naukri.com/job-listings-senior-specialist-data-scientist-bny-mellon-international-operations-india-chennai-8-to-10-years-181122500466
Lead Data Management Analyst,BNY Mellon,Not disclosed,4-6 Yrs,4.2,https://www.naukri.com/job-listings-lead-data-management-analyst-bny-mellon-international-operations-india-chennai-4-to-6-years-091122500819
Data Analyst,Vellore Institute of Technology (VIT),Not disclosed,0-5 Yrs,4.3,https://www.naukri.com/job-listings-data-analyst-vellore-institute-of-technology-chennai-0-to-5-years-261022008119
Platform Analyst - Info&Data,Philips,Not disclosed,8-13 Yrs,4.1,https://www.naukri.com/job-listings-platform-analyst-info-data-philips-india-limited-chennai-8-to-13-years-211022500020
Big Data Analyst - Part time,Write Academy,Not disclosed,1-6 Yrs,,https://www.naukri.com/job-listings-big-data-analyst-part-time-write-academy-chennai-1-to-6-years-011018500124
Data Scientist,Altair,Not disclosed,2-7 Yrs,4.2,https://www.naukri.com/job-listings-data-scientist-altair-engineering-india-private-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-7-years-281022006381
BUSINESS DATA ANALYST - GOOGLE ANALYTICS,Lennox India Technology Centre,Not disclosed,5-7 Yrs,4.3,https://www.naukri.com/job-listings-business-data-analyst-google-analytics-lennox-india-technology-centre-private-limited-chennai-5-to-7-years-290622501097
Business Data Analyst - Marketing,Lennox India Technology Centre,Not disclosed,3-5 Yrs,4.3,https://www.naukri.com/job-listings-business-data-analyst-marketing-lennox-india-technology-centre-chennai-3-to-5-years-060522500539
Business Data Analyst - Marketing,Lennox International (LII),Not disclosed,2-5 Yrs,3,https://www.naukri.com/job-listings-business-data-analyst-marketing-lennox-international-chennai-2-to-5-years-050522500183
BUSINESS DATA ANALYST - NETWORK DESIGN,Lennox India Technology Centre,Not disclosed,2-5 Yrs,4.3,https://www.naukri.com/job-listings-business-data-analyst-network-design-lennox-india-technology-centre-private-limited-chennai-2-to-5-years-040522500664
ASSOCIATE - BUSINESS DATA ANALYST,Lennox India Technology Centre,Not disclosed,2-5 Yrs,4.3,https://www.naukri.com/job-listings-associate-business-data-analyst-lennox-india-technology-centre-private-limited-chennai-2-to-5-years-040522500663
Senior Data Scientist - R/Python,Career Infosystem,Not disclosed,4-8 Yrs,,https://www.naukri.com/job-listings-senior-data-scientist-r-python-career-infosystem-chennai-4-to-8-years-101122907946
Lead Data Analyst/SQL - Banking/Finance - Immediate,Perficient,"15,00,000 - 25,00,000 PA.",8-13 Yrs,4.3,https://www.naukri.com/job-listings-lead-data-analyst-sql-banking-finance-immediate-perficient-india-private-limited-chennai-bangalore-bengaluru-8-to-13-years-091122015056
Data Analyst 2,Paypal,Not disclosed,5-8 Yrs,4.2,https://www.naukri.com/job-listings-data-analyst-2-paypal-holdings-inc-chennai-5-to-8-years-281022501943
