Job Position Name,Company Name,Pay,Experience,Rating,URL
Lead Data Management Analyst,Wells Fargo,Not disclosed,5-8 Yrs,4.2,https://www.naukri.com/job-listings-lead-data-management-analyst-wells-fargo-india-solutions-pvt-ltd-hyderabad-secunderabad-5-to-8-years-051122500013
Data Analyst,CBRE,Not disclosed,4-7 Yrs,4.3,https://www.naukri.com/job-listings-data-analyst-cbre-south-asia-pvt-ltd-hyderabad-secunderabad-4-to-7-years-031122014402
Data Analyst with CBRE ( product based company),CBRE,Not disclosed,4-7 Yrs,4.3,https://www.naukri.com/job-listings-data-analyst-with-cbre-product-based-company-cbre-south-asia-pvt-ltd-hyderabad-secunderabad-4-to-7-years-031122006709
Sr. Data Analyst,Thomson Reuters,Not disclosed,2-4 Yrs,4.3,https://www.naukri.com/job-listings-sr-data-analyst-thomson-reuters-india-pvt-ltd-hyderabad-secunderabad-2-to-4-years-141022502817
Senior Manager Opening- Data Analytics/ Spend Analysis,GEP,"15,00,000 - 25,00,000 PA.",10-15 Yrs,3.9,https://www.naukri.com/job-listings-senior-manager-opening-data-analytics-spend-analysis-gep-solutions-pvt-ltd-hyderabad-secunderabad-navi-mumbai-10-to-15-years-211022907803
Senior Data Analyst - Tableau | Delta Air lines,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-tableau-delta-air-lines-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-251022003234
Senior Data Analyst - Power BI | Delta Air Lines,Talent500,Not disclosed,4-9 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-power-bi-delta-air-lines-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-251022003168
Senior Data Analyst - Nielsen | Pepsico,Talent500,Not disclosed,8-13 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-nielsen-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-13-years-221022007498
Senior Data Analyst - Nielsen / IRI | Pepsico,Talent500,Not disclosed,7-12 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-nielsen-iri-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-221022007455
Senior Data Analyst -Tableau Development | Pepsico,Talent500,Not disclosed,5-10 Yrs,3.1,https://www.naukri.com/job-listings-senior-data-analyst-tableau-development-pepsico-talent500-tech-india-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-5-to-10-years-211022008991
